measure,location,sex,age,cause,metric,year,val,upper,lower
Prevalence,World Bank High Income,Both,All ages,Substance use disorders,Percent,1990,0.036819946132915914,0.04100888269563598,0.03316105296408353
Prevalence,World Bank High Income,Both,All ages,Substance use disorders,Percent,1991,0.03673389457792224,0.040761341988746376,0.03317372382243703
Prevalence,World Bank High Income,Both,All ages,Substance use disorders,Percent,1992,0.03661085349528548,0.040554230852334554,0.033106899285829286
Prevalence,World Bank High Income,Both,All ages,Substance use disorders,Percent,1993,0.03647423744565624,0.04027257662770988,0.0330456708028942
Prevalence,World Bank High Income,Both,All ages,Substance use disorders,Percent,1994,0.036342711988833,0.040092844514132205,0.03301636634987177
Prevalence,World Bank High Income,Both,All ages,Substance use disorders,Percent,1995,0.03622454454401149,0.0398957676115966,0.032956974999751205
Prevalence,World Bank High Income,Both,All ages,Substance use disorders,Percent,1996,0.03610281169887466,0.03968374214949875,0.032919585648116444
Prevalence,World Bank High Income,Both,All ages,Substance use disorders,Percent,1997,0.035954507291007215,0.039496659887888856,0.03282042072858864
Prevalence,World Bank High Income,Both,All ages,Substance use disorders,Percent,1998,0.03582872915814921,0.03935705923734055,0.032780885201022916
Prevalence,World Bank High Income,Both,All ages,Substance use disorders,Percent,1999,0.03576677364106288,0.03927354262231241,0.03278257096345664
Prevalence,World Bank High Income,Both,All ages,Substance use disorders,Percent,2000,0.035800124577817415,0.03919204819182402,0.03289724123505693
Prevalence,World Bank High Income,Both,All ages,Substance use disorders,Percent,2001,0.035972697657666426,0.03934969977481427,0.03303523505736586
Prevalence,World Bank High Income,Both,All ages,Substance use disorders,Percent,2002,0.036247402177509845,0.03959878226878649,0.033255579749359034
Prevalence,World Bank High Income,Both,All ages,Substance use disorders,Percent,2003,0.03656869882633305,0.039974493816399816,0.03359104547774178
Prevalence,World Bank High Income,Both,All ages,Substance use disorders,Percent,2004,0.036861224165712955,0.040202070274106404,0.03390437833732169
Prevalence,World Bank High Income,Both,All ages,Substance use disorders,Percent,2005,0.037055592838840155,0.04043190067344147,0.034085943097417644
Prevalence,World Bank High Income,Both,All ages,Substance use disorders,Percent,2006,0.037135833344553226,0.0404973453094201,0.034191636681773045
Prevalence,World Bank High Income,Both,All ages,Substance use disorders,Percent,2007,0.03713898224696041,0.04050827768122488,0.03417446546500526
Prevalence,World Bank High Income,Both,All ages,Substance use disorders,Percent,2008,0.03711292344588649,0.04046020173782633,0.03414368249083534
Prevalence,World Bank High Income,Both,All ages,Substance use disorders,Percent,2009,0.03709844592243636,0.04049558663474396,0.034123984575130765
Prevalence,World Bank High Income,Both,All ages,Substance use disorders,Percent,2010,0.03713279634585388,0.040548537485041634,0.03412346769932494
Prevalence,World Bank High Income,Both,All ages,Substance use disorders,Percent,2011,0.03725440812998897,0.040651146132475,0.03416816360849601
Prevalence,World Bank High Income,Both,All ages,Substance use disorders,Percent,2012,0.03744850702937912,0.040851282433119064,0.03435760354417401
Prevalence,World Bank High Income,Both,All ages,Substance use disorders,Percent,2013,0.03767592393474291,0.04106135938416794,0.034500332769002724
Prevalence,World Bank High Income,Both,All ages,Substance use disorders,Percent,2014,0.03790177166121318,0.04126758694177401,0.034740278667050484
Prevalence,World Bank High Income,Both,All ages,Substance use disorders,Percent,2015,0.03807068461540568,0.04144072523449691,0.03486397500504731
Prevalence,World Bank High Income,Both,All ages,Substance use disorders,Percent,2016,0.03819370749500429,0.04166022309011341,0.03505816478563969
Prevalence,World Bank High Income,Both,All ages,Substance use disorders,Percent,2017,0.03825223785420893,0.04154685175310478,0.03518925541252708
Prevalence,World Bank High Income,Both,All ages,Substance use disorders,Percent,2018,0.038183686247033395,0.04159196446840095,0.03504885315917768
Prevalence,World Bank High Income,Both,All ages,Substance use disorders,Percent,2019,0.037990565150102865,0.04161910419964373,0.03483375655647255
Prevalence,World Bank Upper Middle Income,Both,All ages,Schizophrenia,Percent,1990,0.0029020215672553177,0.003330688462230562,0.0025102848386294153
Prevalence,World Bank Upper Middle Income,Both,All ages,Schizophrenia,Percent,1991,0.0029353173064075233,0.0033713047022603105,0.002537839606499878
Prevalence,World Bank Upper Middle Income,Both,All ages,Schizophrenia,Percent,1992,0.002968441470580576,0.0034085686159032605,0.0025656862609691015
Prevalence,World Bank Upper Middle Income,Both,All ages,Schizophrenia,Percent,1993,0.0030013582506579197,0.003448696548924028,0.0025934450529411313
Prevalence,World Bank Upper Middle Income,Both,All ages,Schizophrenia,Percent,1994,0.0030331657031947533,0.0034830300511897194,0.002620728065192558
Prevalence,World Bank Upper Middle Income,Both,All ages,Schizophrenia,Percent,1995,0.0030641362773450994,0.0035163548790841576,0.0026465375068215093
Prevalence,World Bank Upper Middle Income,Both,All ages,Schizophrenia,Percent,1996,0.0030930360490770523,0.0035476299983849993,0.0026728189888942377
Prevalence,World Bank Upper Middle Income,Both,All ages,Schizophrenia,Percent,1997,0.0031209040534301083,0.0035781337213528983,0.002698184386601631
Prevalence,World Bank Upper Middle Income,Both,All ages,Schizophrenia,Percent,1998,0.003148750894967071,0.0036049610516566957,0.0027208907885278516
Prevalence,World Bank Upper Middle Income,Both,All ages,Schizophrenia,Percent,1999,0.0031765611143154066,0.0036353911564680325,0.002744452868243127
Prevalence,World Bank Upper Middle Income,Both,All ages,Schizophrenia,Percent,2000,0.0032056284773178895,0.0036680383390933244,0.0027696793881569048
Prevalence,World Bank Upper Middle Income,Both,All ages,Schizophrenia,Percent,2001,0.003235716595723181,0.0037030860971301646,0.0027953068934611657
Prevalence,World Bank Upper Middle Income,Both,All ages,Schizophrenia,Percent,2002,0.0032674617180917737,0.003740448168836684,0.0028275820944358605
Prevalence,World Bank Upper Middle Income,Both,All ages,Schizophrenia,Percent,2003,0.0033000394331625387,0.0037769378467112855,0.0028605449772536695
Prevalence,World Bank Upper Middle Income,Both,All ages,Schizophrenia,Percent,2004,0.0033319446106895986,0.003812542980319793,0.0028923425255783773
Prevalence,World Bank Upper Middle Income,Both,All ages,Schizophrenia,Percent,2005,0.003363466914401939,0.0038476793904949945,0.0029232666838458037
Prevalence,World Bank Upper Middle Income,Both,All ages,Schizophrenia,Percent,2006,0.0033949736763222607,0.0038837585123242652,0.0029532501166956893
Prevalence,World Bank Upper Middle Income,Both,All ages,Schizophrenia,Percent,2007,0.00342821080509528,0.003917079687851748,0.002983046506289747
Prevalence,World Bank Upper Middle Income,Both,All ages,Schizophrenia,Percent,2008,0.003461660333472472,0.003955917887931386,0.0030096336688135395
Prevalence,World Bank Upper Middle Income,Both,All ages,Schizophrenia,Percent,2009,0.003492421427380757,0.0039922844268107625,0.00303394483736661
Prevalence,World Bank Upper Middle Income,Both,All ages,Schizophrenia,Percent,2010,0.003519159632274856,0.0040151654874613155,0.0030594952887976023
Prevalence,World Bank Upper Middle Income,Both,All ages,Schizophrenia,Percent,2011,0.0035396392421447034,0.004036700870678793,0.0030783152742424906
Prevalence,World Bank Upper Middle Income,Both,All ages,Schizophrenia,Percent,2012,0.0035558934894892014,0.004055905787338931,0.003095903400932491
Prevalence,World Bank Upper Middle Income,Both,All ages,Schizophrenia,Percent,2013,0.0035693110244594778,0.004071334013349867,0.0031083071304586966
Prevalence,World Bank Upper Middle Income,Both,All ages,Schizophrenia,Percent,2014,0.003581033025107569,0.004084715832361616,0.003119460901487026
Prevalence,World Bank Upper Middle Income,Both,All ages,Schizophrenia,Percent,2015,0.00359219265947266,0.004095728432523578,0.003126871655185632
Prevalence,World Bank Upper Middle Income,Both,All ages,Schizophrenia,Percent,2016,0.0036255401503903525,0.0041338686142134255,0.0031551977400921393
